region,name,code
Алтайский край,Алтайский край,01
Краснодарский край,Краснодарский край,03
Красноярский край,Красноярский край,04
Приморский край,Приморский край,05
Ставропольский край,Ставропольский край,07
Хабаровский край,Хабаровский край,08
Амурская область,Амурская обл.,10
Архангельская область,Архангельская обл.,11
Астраханская область,Астраханская обл.,12
Ненецкий автономный округ,Ненецкий АО,13
Белгородская область,Белгородская обл.,14
Брянская область,Брянская обл.,15
Владимирская область,Владимирская обл.,17
Волгоградская область,Волгоградская обл.,18
Вологодская область,Вологодская обл.,19
Воронежская область,Воронежская обл.,20
Нижегородская область,Нижегородская обл.,22
Ивановская область,Ивановская обл.,24
Иркутская область,Иркутская обл.,25
Республика Ингушетия,Ингушетия,26
Калининградская область,Калининградская обл.,27
Тверская область,Тверская обл.,28
Калужская область,Калужская обл.,29
Камчатский край,Камчатский край,30
Кемеровская область,Кемеровская обл.,32
Кировская область,Кировская обл.,33
Костромская область,Костромская обл.,34
Республика Крым,Крым,35
Самарская область,Самарская обл.,36
Курганская область,Курганская обл.,37
Курская область,Курская обл.,38
Санкт-Петербург,Санкт-Петербург,40
Ленинградская область,Ленинградская обл.,41
Липецкая область,Липецкая обл.,42
Магаданская область,Магаданская обл.,44
Москва,Москва,45
Московская область,Московская обл.,46
Мурманская область,Мурманская обл.,47
Новгородская область,Новгородская обл.,49
Новосибирская область,Новосибирская обл.,50
Омская область,Омская обл.,52
Оренбургская область,Оренбургская обл.,53
Орловская область,Орловская обл.,54
Пензенская область,Пензенская обл.,56
Пермский край,Пермский край,57
Псковская область,Псковская обл.,58
Ростовская область,Ростовская обл.,60
Рязанская область,Рязанская обл.,61
Саратовская область,Саратовская обл.,63
Сахалинская область,Сахалинская обл.,64
Свердловская область,Свердловская обл.,65
Смоленская область,Смоленская обл.,66
Севастополь,Севастополь,67
Тамбовская область,Тамбовская обл.,68
Томская область,Томская обл.,69
Тульская область,Тульская обл.,70
Тюменская область,Тюменская обл.,71
Ханты-Мансийский автономный округ - Югра,ХМАО,72
Ульяновская область,Ульяновская обл.,73
Ямало-Ненецкий автономный округ,ЯНАО,74
Челябинская область,Челябинская обл.,75
Забайкальский край,Забайкальский край,76
Чукотский автономный округ,Чукотский АО,77
Ярославская область,Ярославская обл.,78
Республика Адыгея,Адыгея,79
Республика Башкортостан,Башкортостан,80
Республика Бурятия,Бурятия,81
Республика Дагестан,Дагестан,82
Кабардино-Балкарская Республика,КБР,83
Республика Алтай,Алтай,84
Республика Калмыкия,Калмыкия,85
Республика Карелия,Карелия,86
Республика Коми,Коми,87
Республика Марий Эл,Марий Эл,88
Республика Мордовия,Мордовия,89
Республика Северная Осетия-Алания,Северная Осетия,90
Карачаево-Черкесская Республика,КЧР,91
Республика Татарстан,Татарстан,92
Республика Тыва,Тыва,93
Удмуртская Республика,Удмуртия,94
Республика Хакасия,Хакасия,95
Чеченская Республика,Чечня,96
Чувашская Республика,Чувашия,97
Республика Саха (Якутия),Якутия,98
Еврейская автономная область,Еврейская АО,99
